"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv3878","Mb3908","cell wall and cell processes","280 aa overlap","espj",,," 280 aa",," 280 aa ","esx-1 secretion-associated protein espj. conserved alanine rich protein."
"Rv3879c","Mb3909c","cell wall and cell processes","743 aa overlap","espk",,," 744 aa",," 729 aa ","esx-1 secretion-associated protein espk. alanine and proline rich protein."
"Rv3881c","Mb3911c","cell wall and cell processes","460 aa overlap","espb",,," 460 aa",," 460 aa ","secreted esx-1 substrate protein bc espb. conserved alanine and glycine rich protein"
"Rv3884c","Mb3914c","cell wall and cell processes","619 aa overlap","ecca2",,," 619 aa",," 619 aa ","esx conserved component ecca2. esx-2 type vii secretion system protein. probable cbxx/cfqx family protein."
"Rv3885c","Mb3915c","cell wall and cell processes","537 aa overlap","ecce2",,," 537 aa",," 537 aa ","esx conserved component ecce2. esx-2 type vii secretion system protein. possible membrane protein."
"3' end of Rv3887c","Mb3917c","cell wall and cell processes","288 aa overlap","eccd2",,," 289 aa",," 509 aa ","esx conserved component eccd2. esx-2 type vii secretion system protein. probable transmembrane protein."
"5' end of Rv3889c","Mb3918c","cell wall and cell processes","68 aa overlap","espg2",,," 72 aa",," 276 aa ","esx-2 secretion-associated protein espg2"
"Rv3890c","Mb3919c","cell wall and cell processes","537 aa overlap","esxC",,," 124 aa ",,"537 aa","esat-6 like protein esxc esat-6 like protein 11"
"Rv3891c","Mb3920c","cell wall and cell processes","107 aa overlap","esxD",,," 107 aa",," 107 aa ","possible esat-6 like protein esxd"
"3' end of Rv3894c","Mb3923c","cell wall and cell processes","561 aa overlap","eccc2",,," 561 aa",," 1396 aa ","possible conserved membrane protein [second part]"
"5' end of Rv3894c","Mb3924c","cell wall and cell processes","771 aa overlap","eccc2",,," 833 aa",," 1396 aa ","possible conserved membrane protein [first part]"
"Rv3895c","Mb3925c","cell wall and cell processes","495 aa overlap","eccb2",,," 495 aa",," 495 aa ","esx conserved component eccb2. esx-2 type vii secretion system protein. probable membrane protein."
"Rv3901c","Mb3931c","cell wall and cell processes","149 aa overlap",,,," 149 aa",," 149 aa ","possible membrane protein"
"Rv3904c","Mb3934c","cell wall and cell processes","90 aa overlap","esxE",,," 90 aa",," 90 aa ","putative esat-6 like protein esxe hypothetical alanine rich protein esat-6 like protein 12"
"Rv3905c","Mb3935c","cell wall and cell processes","57 aa overlap","esxF",,," 57 aa",," 103 aa ","putative esat-6 like protein esxf hypothetical alanine and glycine rich protein esat-6 like protein 13"
"Rv3910","Mb3940","cell wall and cell processes","1184 aa overlap",,,," 1184 aa",," 1184 aa ","probable conserved transmembrane protein"
"Rv0325","Mb0333","conserved hypothetical protein","74 aa overlap ",,,," 229 aa",," 74 aa ","hypothetical protein"
"the5' end of Rv1718","Mb1746","conserved hypothetical protein","193 aa overlap",,,," 207 aa",," 272 aa ","conserved hypothetical protein"
"Rv2262c","Mb2285c","conserved hypothetical protein","357 aa overlap ",,,," 502 aa",," 360 aa ","conserved hypothetical protein"
"Rv2561","Mb2591","conserved hypothetical protein","79 aa overlap",,,," 245 aa ",,"97 aa","conserved hypothetical protein"
"5' end of Rv2880c","Mb2904c","conserved hypothetical protein","177 aa overlap ",,,," 364 aa",," 275 aa ","conserved hypothetical protein"
"Rv2975c","Mb2999c","conserved hypothetical protein","83 aa overlap ",,,," 553 aa",," 84 aa ","conserved hypothetical protein"
"Rv0192","Mb0198","conserved hypothetical protein","318 aa overlap ",,,," 352 aa",," 366 aa ","conserved secreted protein"
"the3' end of Rv1012","Mb1040","conserved hypothetical protein","63 aa overlap",,,," 104 aa",," 97 aa ","hypothetical protein"
"5' end of Rv2160A","Mb2184c","conserved hypothetical protein","107 aa overlap",,,," 206 aa ",,"211 aa","conserved hypothetical protein"
"Rv2293c","Mb2315c","conserved hypothetical protein","245 aa overlap",,,," 334 aa ",,"246 aa","hypothetical protein"
"Rv3337","Mb3370","conserved hypothetical protein","81 aa overlap ",,,," 297 aa",," 128 aa ","conserved hypothetical protein"
"Rv1588c","Mb0098c","conserved hypothetical protein","222 aa overlap ",,,," 260 aa",," 222 aa ","conserved hypothetical protein"
"Rv1503c","Mb1542c","conserved hypothetical protein","182 aa overlap ",,,," 382 aa",," 182 aa ","conserved hypothetical protein"
"Rv3898c","Mb3927c","conserved hypothetical protein","110 aa overlap ",,,," 329 aa",," 110 aa ","conserved hypothetical protein"
"5' end of Rv0026","Mb0027","conserved hypothetical protein","449 aa overlap",,,," 477 aa",," 448 aa ","conserved hypothetical protein"
"3' end of Rv0345","Mb0353","conserved hypothetical protein","90 aa overlap",,,," 90 aa",," 136 aa ","conserved hypothetical protein"
"Rv0739","Mb0760","conserved hypothetical protein","263 aa overlap",,,," 282 aa",," 268 aa ","conserved hypothetical protein"
"Rv0836c","Mb0859c","conserved hypothetical protein","217 aa overlap",,,," 240 aa",," 217 aa ","hypothetical protein"
"Rv1765c","Mb1794c","conserved hypothetical protein","364 aa overlap",,,," 418 aa",," 365 aa ","conserved hypothetical protein"
"Rv1870c","Mb1901c","conserved hypothetical protein","211 aa overlap",,,," 222 aa",," 211 aa ","conserved hypothetical protein"
"Rv1883c","Mb1915c","conserved hypothetical protein","158 aa overlap",,,," 158 aa",," 153 aa ","conserved hypothetical protein"
"Rv2407","Mb2430","conserved hypothetical protein","280 aa overlap",,,," 280 aa",," 273 aa ","conserved hypothetical protein"
"Rv2414c","Mb2437c","conserved hypothetical protein","483 aa overlap",,,," 523 aa ",,"514 aa","conserved hypothetical protein"
"Rv2823c","Mb2847c","conserved hypothetical protein","812 aa overlap",,,," 812 aa",," 809 aa ","conserved protein"
"Rv3753c","Mb3779c","conserved hypothetical protein","165 aa overlap",,,," 173 aa",," 166 aa ","conserved protein"
"Rv2024c","Mb2049c","conserved hypothetical protein",,,,," 1606 aa",," 515 aa ","conserved hypothetical protein"
"5' end of Rv0698","Mb0717","conserved hypothetical protein","106 aa overlap",,,," 109 aa",," 203 aa ","conserved hypothetical protein [first part]"
"3' end of Rv0698","Mb0718","conserved hypothetical protein","77 aa overlap",,,," 77 aa",," 203 aa ","conserved hypothetical protein [second part]"
"5' end of Rv0785","Mb0807","conserved hypothetical protein","140 aa overlap",,,," 191 aa",," 566 aa ","conserved hypothetical protein [first part]"
"3' end of Rv0785","Mb0808","conserved hypothetical protein","368 aa overlap",,,," 368 aa",," 566 aa ","conserved hypothetical protein [second part]"
"the5' end of Rv1502","Mb1540","conserved hypothetical protein","114 aa overlap",,,," 116 aa",," 299 aa ","hypothetical protein [first part]"
"5' end of Rv2030c","Mb2056c","conserved hypothetical protein","587 aa overlap",,,," 606 aa",," 681 aa ","conserved hypothetical protein [first part]"
"3' end of Rv2030c","Mb2055c","conserved hypothetical protein","79 aa overlap",,,," 79 aa",," 681 aa ","conserved hypothetical protein [second part]"
"5' end of Rv2084","Mb2110","conserved hypothetical protein","284 aa overlap",,,," 331 aa ",,"378 aa","hypothetical protein"
"3' end of Rv2084","Mb2111","conserved hypothetical protein","100 aa overlap",,,," 110 aa ",,"378 aa","hypothetical protein"
"5' end of Rv2227","Mb2251","conserved hypothetical protein","80 aa overlap",,,," 106 aa",," 233 aa ","conserved hypothetical protein [first part]"
"3' end of Rv2227","Mb2252","conserved hypothetical protein","124 aa overlap",,,," 124 aa",," 233 aa ","conserved hypothetical protein [second part]"
"5' end of Rv2286c","Mb2308c","conserved hypothetical protein","133 aa overlap",,,," 133 aa",," 230 aa ","conserved hypothetical protein [first part]"
"3' end of Rv2286c","Mb2307c","conserved hypothetical protein","194 aa overlap",,,," 87 aa",," 230 aa ","conserved hypothetical protein [second part]"
"5' end of Rv2566","Mb2595","conserved hypothetical protein","531 aa overlap",,,," 533 aa",," 1140 aa ","long conserved hypothetical protein [first part]"
"3' end of Rv2566","Mb2596","conserved hypothetical protein","597 aa overlap",,,," 597 aa",," 1140 aa ","long conserved hypothetical protein [second part]"
"5' end of Rv2577","Mb2607","conserved hypothetical protein","83 aa overlap",,,," 83 aa",," 529 aa ","conserved hypothetical protein [first part]"
"3' end of Rv2577","Mb2608","conserved hypothetical protein","434 aa overlap",,,," 434 aa",," 529 aa ","conserved hypothetical protein [second part]"
"5' end of Rv2742c","Mb2763c","conserved hypothetical protein","195 aa overlap",,,," 195 aa",," 277 aa ","conserved hypothetical arginine rich protein [first part]"
"3' end of Rv2742c","Mb2762c","conserved hypothetical protein","82 aa overlap",,,," 82 aa",," 277 aa ","conserved hypothetical arginine rich protein [second part]"
"5' end of Rv2762c","Mb2784c","conserved hypothetical protein","43 aa overlap",,,," 43 aa",," 139 aa ","conserved hypothetical protein [first part]"
"3' end of Rv2762c","Mb2783c","conserved hypothetical protein","90 aa overlap",,,," 90 aa",," 139 aa ","conserved hypothetical protein [second part]"
"3' end of Rv3128c","Mb3151c","conserved hypothetical protein","116 aa overlap",,,," 116 aa",," 337 aa ","conserved hypothetical protein"
"5' end of Rv3128c","Mb3152c","conserved hypothetical protein","193 aa overlap",,,," 193 aa",," 337 aa ","conserved hypothetical protein"
"5' end of Rv3773c","Mb3802c","conserved hypothetical protein","52 aa overlap",,,," 78 aa",," 194 aa ","conserved hypothetical protein [first part]"
"3' end of Rv3773c","Mb3801c","conserved hypothetical protein","114 aa overlap",,,," 114 aa",," 194 aa ","conserved hypothetical protein [second part]"
"3' end of Rv3899c","Mb3928c","conserved hypothetical protein","293 aa overlap",,,," 293 aa",," 410 aa ","conserved hypothetical protein"
"5' end of Rv3899c","Mb3929c","conserved hypothetical protein","130 aa overlap",,,," 247 aa",," 410 aa ","conserved hypothetical protein"
"-","Mb2999cA","conserved hypothetical protein","-",,,," 68 aa ",,"-","function unknown"
"-","Mb1582","conserved hypothetical protein","-","mmpS6",,," 148 aa ",,"-","probable conserved membrane protein mmps6"
"-","Mb0626cA","conserved hypothetical protein","-",,,,"-",,"-","function unknown"
"-","Mb0857cA","conserved hypothetical protein","-",,,,"-",,"-","function unknown"
,"Mb2573","conserved hypothetical protein","219 aa overlap","lprR",,," 219 aa",,,"probable conserved lipoprotein lprr"
,"Mb1023A","conserved hypothetical protein",,,,,"83 aa",,,"function unknown"
,"Mb1186A","conserved hypothetical protein",,,,,,,,"conserved hypothetical protein"
,"Mb0587cA","conserved hypothetical protein",,,,,"55 aa",,,"conserved hypothetical protein"
,"Mb2407A","conserved hypothetical protein",,,,,"69 aa",,,"conserved hypothetical protein"
,"Mb3227A","conserved hypothetical protein",,,,,"72 aa",,,"conserved hypothetical protein"
,"Mb3875A","conserved hypothetical protein",,,,,"71 aa",,,"conserved hypothetical protein"
,"Mb3875cB","conserved hypothetical protein",,,,,"30 aa",,,"conserved hypothetical protein"
,"Mb3875cc","conserved hypothetical protein",,,,,"102 aa",,,"conserved hypothetical protein"
,"Mb2541","conserved hypothetical protein",,,,," 45 aa ",,,
,"Mb1847","conserved hypothetical protein",,,,," 26 aa ",,,
,"Mb2683c","conserved hypothetical protein",,,,," 57 aa",,,
"Rv0004","Mb0004","conserved hypothetical protein","187 aa overlap",,,," 187 aa",," 187 aa ","conserved hypothetical protein"
"Rv0021c","Mb0021c","conserved hypothetical protein","322 aa overlap",,,," 322 aa",," 322 aa ","conserved hypothetical protein"
"Rv0025","Mb0026","conserved hypothetical protein","120 aa overlap",,,," 120 aa",," 120 aa ","conserved hypothetical protein"
"Rv0029","Mb0030","conserved hypothetical protein","365 aa overlap",,,," 365 aa",," 365 aa ","conserved hypothetical protein"
"Rv0080","Mb0083","conserved hypothetical protein","152 aa overlap",,,," 152 aa",," 152 aa ","conserved hypothetical protein"
"Rv0104","Mb0107","conserved hypothetical protein","504 aa overlap",,,," 504 aa",," 504 aa ","conserved hypothetical protein"
"Rv0138","Mb0143","conserved hypothetical protein","167 aa overlap",,,," 167 aa",," 167 aa ","conserved hypothetical protein"
"Rv0193c","Mb0199c","conserved hypothetical protein","615 aa overlap",,,," 615 aa",," 615 aa ","hypothetical protein"
"Rv0209","Mb0215","conserved hypothetical protein","361 aa overlap",,,," 361 aa",," 361 aa ","hypothetical protein"
"Rv0210","Mb0216","conserved hypothetical protein","492 aa overlap",,,," 492 aa",," 492 aa ","hypothetical protein"
"Rv0259c","Mb0265c","conserved hypothetical protein","247 aa overlap",,,," 247 aa",," 247 aa ","conserved hypothetical protein"
"Rv0272c","Mb0278c","conserved hypothetical protein","377 aa overlap",,,," 377 aa",," 377 aa ","unknown protein"
"Rv0299","Mb0307","conserved hypothetical protein","100 aa overlap",,,," 100 aa",," 100 aa ","hypothetical protein"
"Rv0312","Mb0320","conserved hypothetical protein","620 aa overlap",,,," 620 aa",," 620 aa ","conserved hypothetical proline and threonine rich protein"
"Rv0323c","Mb0331c","conserved hypothetical protein","223 aa overlap",,,," 223 aa",," 223 aa ","conserved hypothetical protein"
"Rv0329c","Mb0336c","conserved hypothetical protein","208 aa overlap",,,," 208 aa",," 208 aa ","conserved hypothetical protein"
"Rv0332","Mb0339","conserved hypothetical protein","261 aa overlap",,,," 261 aa",," 261 aa ","conserved protein"
"Rv0368c","Mb0375c","conserved hypothetical protein","403 aa overlap",,,," 403 aa",," 403 aa ","conserved hypothetical protein"
"Rv0372c","Mb0379c","conserved hypothetical protein","251 aa overlap",,,," 251 aa",," 251 aa ","conserved hypothetical protein"
"Rv0395","Mb0401","conserved hypothetical protein","134 aa overlap",,,," 134 aa",," 134 aa ","hypothetical protein"
"Rv0434","Mb0442","conserved hypothetical protein","217 aa overlap",,,," 217 aa",," 217 aa ","conserved hypothetical protein"
"Rv0493c","Mb0504c","conserved hypothetical protein","329 aa overlap",,,," 329 aa",," 329 aa ","conserved protein"
"Rv0572c","Mb0587c","conserved hypothetical protein","113 aa overlap",,,," 113 aa",," 113 aa ","hypothetical protein"
"Rv0574c","Mb0589c","conserved hypothetical protein","380 aa overlap",,,," 380 aa",," 380 aa ","conserved hypothetical protein"
"Rv0610c","Mb0627c","conserved hypothetical protein","385 aa overlap",,,," 385 aa",," 385 aa ","hypothetical protein"
"Rv0647c","Mb0666c","conserved hypothetical protein","488 aa overlap",,,," 488 aa",," 488 aa ","conserved protein"
"Rv0787","Mb0810","conserved hypothetical protein","319 aa overlap",,,," 319 aa",," 319 aa ","unknown protein"
"Rv0822c","Mb0845c","conserved hypothetical protein","684 aa overlap",,,," 684 aa",," 684 aa ","conserved protein"
"Rv0826","Mb0849","conserved hypothetical protein","351 aa overlap",,,," 351 aa",," 351 aa ","conserved hypothetical protein"
"Rv0862c","Mb0885c","conserved hypothetical protein","756 aa overlap",,,," 756 aa",," 756 aa ","conserved protein"
"Rv0909","Mb0933","conserved hypothetical protein","59 aa overlap",,,," 59 aa",," 59 aa ","conserved hypothetical protein"
"Rv0918","Mb0942","conserved hypothetical protein","158 aa overlap",,,," 158 aa",," 158 aa ","conserved protein"
"Rv0964c","Mb0989c","conserved hypothetical protein","160 aa overlap",,,," 160 aa",," 160 aa ","hypothetical protein"
"Rv0965c","Mb0990c","conserved hypothetical protein","139 aa overlap",,,," 139 aa",," 139 aa ","conserved hypothetical protein"
"Rv0966c","Mb0991c","conserved hypothetical protein","200 aa overlap",,,," 200 aa",," 200 aa ","conserved protein"
"Rv0990c","Mb1017c","conserved hypothetical protein","218 aa overlap",,,," 218 aa",," 218 aa ","hypothetical protein"
"Rv0992c","Mb1019c","conserved hypothetical protein","197 aa overlap",,,," 197 aa",," 197 aa ","conserved hypothetical protein"
"Rv1006","Mb1033","conserved hypothetical protein","567 aa overlap",,,," 567 aa",," 567 aa ","unknown protein"
"Rv1043c","Mb1072c","conserved hypothetical protein","341 aa overlap",,,," 341 aa",," 341 aa ","conserved hypothetical protein"
"Rv1045","Mb1074","conserved hypothetical protein","293 aa overlap",,,," 293 aa",," 293 aa ","hypothetical protein"
"Rv1112","Mb1142","conserved hypothetical protein","357 aa overlap",,,," 357 aa",," 357 aa ","probable gtp binding protein"
"Rv1120c","Mb1151c","conserved hypothetical protein","164 aa overlap",,,," 164 aa",," 164 aa ","conserved hypothetical protein"
"Rv1125","Mb1156","conserved hypothetical protein","414 aa overlap",,,," 414 aa",," 414 aa ","conserved hypothetical protein"
"Rv1128c","Mb1159c","conserved hypothetical protein","451 aa overlap",,,," 451 aa",," 451 aa ","conserved hypothetical protein"
"Rv1154c","Mb1185c","conserved hypothetical protein","213 aa overlap",,,," 213 aa",," 213 aa ","hypothetical protein"
"Rv1186c","Mb1218c","conserved hypothetical protein","538 aa overlap",,,," 538 aa",," 538 aa ","conserved protein"
"Rv1215c","Mb1247c","conserved hypothetical protein","561 aa overlap",,,," 561 aa",," 561 aa ","conserved protein"
"Rv1232c","Mb1264c","conserved hypothetical protein","435 aa overlap",,,," 435 aa",," 435 aa ","conserved protein"
"Rv1262c","Mb1293c","conserved hypothetical protein","144 aa overlap",,,," 144 aa",," 144 aa ","hypothetical hit-like protein"
"Rv1276c","Mb1307c","conserved hypothetical protein","158 aa overlap",,,," 158 aa",," 158 aa ","conserved hypothetical protein"
"Rv1301","Mb1333","conserved hypothetical protein","217 aa overlap",,,," 217 aa",," 217 aa ","conserved protein"
"Rv1321","Mb1355","conserved hypothetical protein","226 aa overlap",,,," 226 aa",," 226 aa ","conserved hypothetical protein"
"Rv1367c","Mb1402c","conserved hypothetical protein","377 aa overlap",,,," 377 aa",," 377 aa ","conserved protein"
"Rv1374c","Mb1409c","conserved hypothetical protein","152 aa overlap",,,," 152 aa",," 152 aa ","hypothetical protein"
"Rv1375","Mb1410","conserved hypothetical protein","439 aa overlap",,,," 439 aa",," 439 aa ","conserved hypothetical protein"
"Rv1376","Mb1411","conserved hypothetical protein","497 aa overlap",,,," 497 aa",," 497 aa ","conserved hypothetical protein"
"Rv1378c","Mb1413c","conserved hypothetical protein","475 aa overlap",,,," 475 aa",," 475 aa ","conserved hypothetical protein"
"Rv1422","Mb1457","conserved hypothetical protein","342 aa overlap",,,," 342 aa",," 342 aa ","conserved hypothetical protein"
"Rv1462","Mb1497","conserved hypothetical protein","397 aa overlap",,,," 397 aa",," 397 aa ","conserved hypothetical protein"
"Rv1486c","Mb1522c","conserved hypothetical protein","288 aa overlap",,,," 288 aa",," 288 aa ","conserved hypothetical protein"
"Rv1518","Mb1545","conserved hypothetical protein","319 aa overlap",,,," 319 aa",," 319 aa ","conserved hypothetical protein"
"Rv1572c","Mb1598A","conserved hypothetical protein","34aa overlap",,,," 34 aa",,"34 aa","conserved hypothetical protein"
"Rv1592c","Mb1618c","conserved hypothetical protein","446 aa overlap",,,," 446 aa",," 446 aa ","conserved hypothetical protein"
"Rv1597","Mb1623","conserved hypothetical protein","252 aa overlap",,,," 252 aa",," 252 aa ","hypothetical protein"
"Rv1680","Mb1707","conserved hypothetical protein","274 aa overlap",,,," 274 aa",," 274 aa ","hypothetical protein"
"Rv1716","Mb1744","conserved hypothetical protein","276 aa overlap",,,," 276 aa",," 276 aa ","conserved hypothetical protein"
"Rv1734c","Mb1763c","conserved hypothetical protein","80 aa overlap",,,," 80 aa",," 80 aa ","conserved hypothetical protein"
"Rv1778c","Mb1807c","conserved hypothetical protein","149 aa overlap",,,," 149 aa",," 149 aa ","unknown protein"
"Rv1815","Mb1845","conserved hypothetical protein","221 aa overlap",,,," 221 aa",," 221 aa ","conserved protein"
"Rv1829","Mb1860","conserved hypothetical protein","164 aa overlap",,,," 164 aa",," 164 aa ","conserved protein"
"Rv1836c","Mb1867c","conserved hypothetical protein","677 aa overlap",,,," 677 aa",," 677 aa ","conserved protein"
"Rv1847","Mb1878","conserved hypothetical protein","140 aa overlap",,,," 140 aa",," 140 aa ","conserved protein"
"Rv1873","Mb1904","conserved hypothetical protein","145 aa overlap",,,," 145 aa",," 145 aa ","conserved hypothetical protein"
"Rv1904","Mb1939","conserved hypothetical protein","143 aa overlap",,,," 143 aa",," 143 aa ","conserved hypothetical protein"
"Rv1945","Mb1980","conserved hypothetical protein","454 aa overlap",,,," 454 aa",," 454 aa ","conserved hypothetical protein"
"Rv1948c","Mb1983c","conserved hypothetical protein","116 aa overlap",,,," 116 aa",," 116 aa ","hypothetical protein"
"Rv1949c","Mb1984c","conserved hypothetical protein","300 aa overlap",,,," 300 aa",," 319 aa ","conserved hypothetical protein"
"Rv1954A","Mb1988A","conserved hypothetical protein","100 aa overlap",,,," 100 aa",,"100 aa","hypothetical protein"
"Rv1954c","Mb1989c","conserved hypothetical protein","173 aa overlap",,,," 173 aa",," 173 aa ","hypothetical protein"
"Rv1978","Mb2000","conserved hypothetical protein","282 aa overlap",,,," 282 aa",," 282 aa ","conserved protein"
"Rv1998c","Mb2021c","conserved hypothetical protein","258 aa overlap",,,," 258 aa",," 258 aa ","conserved protein"
"Rv2001","Mb2024","conserved hypothetical protein","250 aa overlap",,,," 250 aa",," 250 aa ","conserved hypothetical protein"
"Rv2015c","Mb2038c","conserved hypothetical protein","418 aa overlap",,,," 418 aa",," 418 aa ","conserved hypothetical protein"
"Rv2018","Mb2041","conserved hypothetical protein","239 aa overlap",,,," 239 aa",," 239 aa ","conserved protein"
"Rv2032","Mb2058","conserved hypothetical protein","331 aa overlap","acg",,," 331 aa",," 331 aa ","conserved protein acg"
"Rv2036","Mb2062","conserved hypothetical protein","213 aa overlap",,,," 213 aa",," 213 aa ","conserved hypothetical protein"
"Rv2078","Mb2104","conserved hypothetical protein","104 aa overlap",,,," 104 aa",," 104 aa ","conserved hypothetical protein"
"Rv2079","Mb2105","conserved hypothetical protein","656 aa overlap",,,," 656 aa",," 656 aa ","conserved hypothetical protein"
"Rv2082","Mb2108","conserved hypothetical protein","721 aa overlap",,,," 721 aa",," 721 aa ","conserved hypothetical protein"
"Rv2083","Mb2109","conserved hypothetical protein","314 aa overlap",,,," 314 aa",," 314 aa ","conserved hypothetical protein"
"Rv2125","Mb2149","conserved hypothetical protein","292 aa overlap",,,," 292 aa",," 292 aa ","conserved hypothetical protein"
"Rv2191","Mb2214","conserved hypothetical protein","645 aa overlap",,,," 645 aa",," 645 aa ","conserved hypothetical protein"
"Rv2226","Mb2250","conserved hypothetical protein","513 aa overlap",,,," 513 aa",," 513 aa ","conserved protein"
"Rv2229c","Mb2254c","conserved hypothetical protein","245 aa overlap",,,," 245 aa",," 245 aa ","conserved protein"
"Rv2240c","Mb2264c","conserved hypothetical protein","196 aa overlap",,,," 196 aa",," 196 aa ","unknown protein"
"Rv2248","Mb2272","conserved hypothetical protein","271 aa overlap",,,," 271 aa",," 271 aa ","conserved hypothetical protein"
"Rv2256c","Mb2280c","conserved hypothetical protein","177 aa overlap",,,," 177 aa",," 177 aa ","conserved hypothetical protein"
"Rv2305","Mb2327","conserved hypothetical protein","429 aa overlap",,,," 429 aa",," 429 aa ","unknown protein"
"Rv2307c","Mb2330c","conserved hypothetical protein","281 aa overlap",,,," 281 aa",," 281 aa ","conserved hypothetical protein"
"Rv2308","Mb2334","conserved hypothetical protein","238 aa overlap",,,," 238 aa",," 238 aa ","conserved hypothetical protein"
"Rv2309A","Mb2336","conserved hypothetical protein","95 aa overlap",,,," 95 aa",," 95 aa ","hypothetical protein"
"Rv2323c","Mb2350c","conserved hypothetical protein","302 aa overlap",,,," 302 aa",," 302 aa ","conserved protein"
"Rv2331A","Mb2359","conserved hypothetical protein","112 aa overlap",,,," 112 aa",," 112 aa ","hypothetical protein"
"Rv2337c","Mb2365c","conserved hypothetical protein","372 aa overlap",,,," 372 aa",," 372 aa ","hypothetical protein"
"Rv2360c","Mb2381c","conserved hypothetical protein","142 aa overlap",,,," 142 aa",," 142 aa ","unknown protein"
"Rv2390c","Mb2411c","conserved hypothetical protein","185 aa overlap",,,," 185 aa",," 185 aa ","conserved hypothetical protein"
"Rv2415c","Mb2438c","conserved hypothetical protein","297 aa overlap",,,," 297 aa",," 297 aa ","conserved hypothetical protein"
"Rv2426c","Mb2450c","conserved hypothetical protein","291 aa overlap",,,," 291 aa",," 291 aa ","conserved hypothetical protein"
"Rv2451","Mb2478","conserved hypothetical protein","132 aa overlap",,,," 132 aa",," 132 aa ","hypothetical proline and serine rich protein"
"Rv2469c","Mb2496c","conserved hypothetical protein","222 aa overlap",,,," 222 aa",," 222 aa ","conserved hypothetical protein"
"Rv2474c","Mb2501c","conserved hypothetical protein","217 aa overlap",,,," 217 aa",," 217 aa ","conserved hypothetical protein"
"Rv2492","Mb2520","conserved hypothetical protein","250 aa overlap",,,," 250 aa",," 250 aa ","hypothetical protein"
"Rv2513","Mb2542","conserved hypothetical protein","140 aa overlap",,,," 140 aa",," 140 aa ","hypothetical protein"
"Rv2529","Mb2558","conserved hypothetical protein","463 aa overlap",,,," 463 aa",," 463 aa ","hypothetical protein"
"Rv2542","Mb2571","conserved hypothetical protein","265 aa overlap",,,," 403 aa",," 403 aa ","conserved hypothetical protein"
"Rv2559c","Mb2589c","conserved hypothetical protein","452 aa overlap",,,," 452 aa",," 452 aa ","conserved hypothetical alanine leucine valine rich protein"
"Rv2567","Mb2597","conserved hypothetical protein","884 aa overlap",,,," 884 aa",," 884 aa ","conserved hypothetical alanine and leucine rich protein"
"Rv2614A","Mb2647","conserved hypothetical protein","75 aa overlap",,,," 75 aa",," 75 aa ","conserved hypothetical protein"
"Rv2616","Mb2649","conserved hypothetical protein","166 aa overlap",,,," 166 aa",," 166 aa ","conserved protein"
"Rv2627c","Mb2660c","conserved hypothetical protein","413 aa overlap",,,," 413 aa",," 413 aa ","conserved protein"
"Rv2628","Mb2661","conserved hypothetical protein","120 aa overlap",,,," 120 aa",," 120 aa ","hypothetical protein"
"Rv2681","Mb2700","conserved hypothetical protein","438 aa overlap",,,," 438 aa",," 438 aa ","conserved hypothetical alanine rich protein"
"Rv2683","Mb2702","conserved hypothetical protein","165 aa overlap",,,," 165 aa",," 165 aa ","conserved protein"
"Rv2694c","Mb2713c","conserved hypothetical protein","122 aa overlap",,,," 122 aa",," 122 aa ","conserved protein"
"Rv2696c","Mb2715c","conserved hypothetical protein","259 aa overlap",,,," 259 aa",," 259 aa ","conserved alanine and glycine and valine rich protein"
"Rv2714","Mb2733","conserved hypothetical protein","324 aa overlap",,,," 324 aa",," 324 aa ","conserved alanine and leucine rich protein"
"Rv2744c","Mb2765c","conserved hypothetical protein","270 aa overlap","35kd_ag",,," 270 aa",," 270 aa ","conserved 35 kda alanine rich protein"
"Rv2771c","Mb2793c","conserved hypothetical protein","150 aa overlap",,,," 150 aa",," 150 aa ","conserved hypothetical protein"
"Rv2804c","Mb2827c","conserved hypothetical protein","209 aa overlap",,,," 209 aa",," 209 aa ","hypothetical protein"
"Rv2805","Mb2828","conserved hypothetical protein","134 aa overlap",,,," 134 aa",," 134 aa ","conserved hypothetical protein"
"Rv2807","Mb2830","conserved hypothetical protein","384 aa overlap",,,," 384 aa",," 384 aa ","conserved hypothetical protein"
"Rv2809","Mb2832","conserved hypothetical protein","103 aa overlap",,,," 103 aa",," 103 aa ","hypothetical protein"
"Rv2813","Mb2837","conserved hypothetical protein","270 aa overlap",,,," 270 aa",," 270 aa ","conserved hypothetical protein"
"Rv2824c","Mb2848c","conserved hypothetical protein","314 aa overlap",,,," 314 aa",," 314 aa ","hypothetical protein"
"Rv2825c","Mb2849c","conserved hypothetical protein","215 aa overlap",,,," 215 aa",," 215 aa ","conserved hypothetical protein"
"Rv2828c","Mb2852c","conserved hypothetical protein","181 aa overlap",,,," 181 aa",," 181 aa ","conserved hypothetical protein"
"Rv2862c","Mb2887c","conserved hypothetical protein","194 aa overlap",,,," 194 aa",," 194 aa ","conserved hypothetical protein"
"Rv2868c","Mb2893c","conserved hypothetical protein","387 aa overlap","gcpE",,," 387 aa",," 387 aa ","probable gcpe protein"
"Rv2896c","Mb2920c","conserved hypothetical protein","389 aa overlap",,,," 389 aa",," 389 aa ","conserved hypothetical protein"
